Feature ID,Area / Module,Route / Screen / Entry Point,Feature Name,User Story,Expected Behavior,Primary Code References,State / Hook Dependencies,API / Server / DB Dependencies,Auth / Permission Requirements,Realtime / Subscription Behavior,Loading State Expected,Error State Expected,Empty State Expected,Mobile / Responsive Expectations,Test Type,Test Steps,Current Status,Errors Found,Severity,Fix Summary,Retest Status,Regression Risk,Notes
F-001,Marketing,/,Landing / marketing site,"As a visitor, I want to understand the product before signing in, so that I can decide whether to enter the app.","Landing page applies a dark landing theme while mounted and renders nav, hero, features, pricing, FAQ, and footer sections.",src/App.tsx; src/pages/Landing.tsx; src/components/landing/*,React useEffect toggles root dark class; ThemeProvider remains app-wide.,None; static marketing components.,None.,None.,Route lazy-loading fallback from App while chunk loads.,No page-level error state implemented.,Not applicable; static content.,Landing sections use responsive component classes; mobile nav handled by landing components.,Static code review + build attempt,Open /; verify landing sections render; refresh; navigate away and confirm prior dark class restored; check mobile width for overflow.,Ready To Test,None found in code review.,None,No fix required.,Not retested - no fix,Low,Manual browser QA blocked by dependency install failure in this environment.
F-002,Auth,/login,Supabase authentication,"As a user, I want to sign in, sign up, use Google, or request a magic link, so that I can access my account.","Login page supports signin/signup modes, password confirmation for signup, password visibility, Google OAuth, magic links, busy disabled buttons, success/error toasts, and navigation to /home after password auth.",src/App.tsx; src/pages/Login.tsx; src/auth/SupabaseAuthProvider.tsx; src/hooks/useSupabaseAuth.ts,useSupabaseAuth context; local mode/email/password/confirm/showPw/submitting/sceneIdx/loaded state; interval effect cleanup; auth provider syncs Supabase session to Zustand store.,"Supabase auth signInWithPassword, signUp, signInWithOAuth, signInWithOtp; profilesRepo sync after session.",Requires valid Supabase project/env for real auth; unauthenticated users can access page.,Supabase auth state subscription; provider unsubscribes on unmount.,Busy state disables actions and shows spinner; App Suspense fallback while route loads.,Validation/auth errors via destructive toast.,Not applicable.,Two-column desktop showcase; compact mobile layout hides desktop visual.,Static code review + automated install/lint/build attempts,Open /login; toggle modes; submit empty fields; test mismatched password; test magic-link without email; test mobile width; verify no console errors.,Blocked - External Service,Runtime auth/manual QA requires Supabase env and successful local install.,Medium,No code fix made.,Blocked - External Service,Medium,External Supabase OAuth redirect settings and env values must be validated outside repo.
F-003,Feed,/home,Discover feed,"As a user, I want to browse current vibe posts by feed tab, so that I can discover nearby activity.","Home renders SearchVibes, feed tab buttons, PostFeed for selected tab, and CameraButton. PostFeed loads posts, shows skeletons, empty state, and supports local deletion.",src/pages/Index.tsx; src/components/PostFeed.tsx; src/components/SearchVibes.tsx; src/components/CameraButton.tsx,Index local currentFeedTab; useIsMobile; PostFeed local posts/loading; callbacks for delete.,postsRepo/list APIs through data layer; search may invoke Supabase google-nlp edge function.,Demo fallback supports unauthenticated; mutations may require authenticated user depending repo/RLS.,No route-level realtime noted.,PostFeed skeleton loading cards.,PostFeed logs or surfaces failures depending repo path; SearchVibes logs NLP failures.,PostFeed displays no posts found.,Mobile scroll classes and smaller heading; CameraButton floats.,Static code review + automated build attempt,Open /home; switch For You/Following/Trending tabs; wait for posts; delete/unpin a post; submit search; inspect mobile and console.,Ready To Test,Manual QA blocked by install failure.,None,No fix required.,Not retested - no fix,Medium,Search depends on external NLP edge function but has local fallback/logging.
F-004,Explore,/explore and /explore/:city,"Explore search, filters, map, categories","As a user, I want to search and filter venues/events, so that I can find places matching my vibe.","Explore loads city results, supports smart search, place suggestions, date/category filters, map sync, sidebar selection, map expansion, and CameraButton.",src/pages/Explore.tsx; src/components/explore/*; src/hooks/useExploreState.ts; src/hooks/useMapSync.ts; src/services/data/locationsRepo.ts,searchQuery/location/date/category state; useExploreState; useMapSync; useIsMobile; effects cancel mounted state.,locationsRepo search/byCity; Supabase google-places edge function fallback path; possible vector/google NLP functions in hooks.,Unauthenticated demo access expected; external search needs Supabase functions/env.,No explicit realtime; map state sync only.,ExploreContent spinner while loading.,Search failure toast; console logging for city load errors.,No mappable results toast; content components may show no results.,"Column layout on mobile, md flex row, sidebar receives isMobile.",Static code review + automated build attempt,Open /explore; search empty/nonempty; type city suggestions; select place; toggle date/category filters; open city route; inspect mobile map/sidebar.,Blocked - External Service,Manual verification of Google Places requires Supabase function and API key; local install failed.,Medium,No code fix made.,Blocked - External Service,Medium,"If production search fails, validate GOOGLE_MAPS_API_KEY and Supabase function deployment."
F-005,Places/Trips,/my-places,Saved places and trips hub,"As a user, I want to see visited places, want-to-visit places, and trips, so that I can plan and revisit experiences.",Page loads user places when signed in; signed-out or empty states fall back to mock catalogs; buttons switch Places/Trips; Places tabs show visited/want-to-visit; TripsList and VibeWithMe render in trips mode.,src/pages/MyPlaces.tsx; src/components/places/TripsList.tsx; src/components/places/VibeWithMe.tsx,activeSection local state; visited/wantToVisit state; loadPlaces useCallback/effect.,getCurrentUserId; userPlacesRepo by status; mockLocations fallback.,Works in demo signed-out; signed-in data depends on Supabase auth/RLS.,Trip collaboration components may use realtime downstream; MyPlaces itself does not subscribe.,No explicit loading UI for async place load.,No user-facing load error; fallback/mock behavior.,"Mock fallback for no data, so true empty state is masked.",Responsive grids: main column and right rail on lg+.,Static code review + automated build attempt,Open /my-places signed out/signed in; switch Places/Trips; verify visited/want tabs; inspect mobile one-column layout.,Deferred - Not Broken,No confirmed runtime defect; lack of loading/true empty state is current product behavior.,Low,No fix required.,Not retested - no fix,Low,Potential UX debt: mock fallback can hide real empty state.
F-006,Trips,/my-places/trip/:tripId and /trip/:tripId,Trip details and collaboration,"As a traveler, I want to view a trip with places, collaborators, ideas, and chat, so that I can coordinate plans.","TripDetails loads trip by id from service/localStorage fallback, shows loading, redirects to /my-places when missing, supports adding places, displays empty place state or grid, and renders TripCommunicationHub.",src/App.tsx; src/components/places/TripDetails.tsx; src/components/places/trip/*; src/services/trips/*,trip/loading state; useParams/useNavigate; TripCommunicationHub hooks; collaboration state.,tripsService; tripCollabService; Supabase realtime channels for trip messages and venue ideas.,Collaboration and messages depend on auth user and RLS for persisted data.,Trip message and venue idea subscriptions via Supabase channels with cleanup.,Loading trip details message.,Missing trip toast + redirect; downstream send errors should surface in chat components.,EmptyPlaceState when trip.places is empty.,Responsive place grid and communication sections.,Static code review + automated build attempt,Open valid trip; open invalid trip; add place; send chat/idea; refresh; test duplicate tabs and mobile layout.,Blocked - External Service,Realtime/data QA requires Supabase env and seeded trip data.,Medium,No code fix made.,Blocked - External Service,Medium,Validate realtime publication/RLS in Supabase before claiming production readiness.
F-007,Settings,/settings,User and venue settings,"As a user or venue owner, I want settings tabs for preferences, privacy, subscriptions, payments, account, and venue-specific tools, so that I can configure my app experience.","Settings uses user/venue mode toggle, dynamic tab list, toast-based save/connect/upgrade actions, user-only subscription/transportation/ticketing tabs, venue-only management/marketing tabs, shared payments/account tabs.",src/pages/Settings.tsx; src/components/settings/SettingsTabs.tsx; src/pages/settings/*,activeTab/isVenueMode/subscriptionTier local state; settings hooks in tab components; localStorage preferences/card mocks.,useSettingsPreferences data service; profile update in AccountTab; payment sections currently local/mock; platform connect marked coming soon.,Profile save requires auth to update server; most settings can save locally in demo.,None.,Individual save buttons expose saving states in hooks.,Toast errors in preference/account hooks; disabled coming-soon controls.,No route-level empty state.,Mobile horizontal scroll tab list; desktop grid tabs.,Static code review + automated build attempt,Open /settings; switch all user tabs; toggle venue mode; save each tab; inspect mobile tab overflow; verify toasts.,Ready To Test,No confirmed code defect in static review.,None,No fix required.,Not retested - no fix,Medium,"Potential layout risk: desktop grid uses 8 columns even when venue mode has fewer tabs, but not confirmed broken."
F-008,Rewards,/points and /user-points,Points and rewards,"As a user, I want to see points, activity, streaks, levels, and rewards, so that I can understand my progress.","Aliases render same page; loads ledger for current user, computes total points, shows level progress, recent activity tab, and static available/locked rewards tab.",src/App.tsx; src/pages/UserPoints.tsx; src/components/user-points/*,user store; totalPoints/ledger local state; load effect with cancellation.,pointsRepo.getLedger; mock/static rewards.,Signed-in user id used when available; demo total defaults to 1250.,None.,No explicit loading state for ledger.,Load errors logged only.,Recent activity empty message when ledger empty.,Responsive stat cards and reward list.,Static code review + automated build attempt,Open /points and /user-points; inspect alias parity; test empty ledger; redeem available/locked reward dialogs if wired; mobile layout.,Ready To Test,Manual QA blocked by install failure.,None,No fix required.,Not retested - no fix,Low,Consider user-facing ledger error in future; not clearly broken.
F-009,Saved content,/pinned and /pinned-vibes,Pinned / saved vibes,"As a user, I want quick access to saved posts, so that I can revisit content.","Loads saved posts for current user or demo fallback, marks them saved, renders PostCard list, shows loading/empty states, and removes posts locally when deleted/unpinned.",src/App.tsx; src/pages/PinnedVibes.tsx; src/components/post/PostCard.tsx,posts/loading state; mounted cleanup; handlePostDeleted state filter.,getCurrentUserId; postsRepo.getSaved; post mutation services from PostCard footer.,Auth user if present; fallback user-1 demo otherwise.,No explicit realtime.,Loading spinner and text.,Toast error on saved-post load failure.,Centered bookmark empty card.,Shared Layout handles mobile; grid/list naturally single column.,Static code review + automated build attempt,Open /pinned and /pinned-vibes; wait loading; unsave/delete card; force repo error; inspect mobile.,Ready To Test,Manual QA blocked by install failure.,None,No fix required.,Not retested - no fix,Low,Demo fallback intentionally displays saved content when signed out.
F-010,Venues,/venue/:id,Venue profile,"As a user, I want venue details, wait time, map, posts, and premium insights, so that I can evaluate a place.","VenueProfile loads venue/posts by id, generates fallback venue posts, filters by tab/day, supports list/grid, map expansion, owner wait-time updater, premium feature container, and not-found handling.",src/App.tsx; src/pages/VenueProfile.tsx; src/components/venue/*; src/components/map/GoogleMap.tsx,activeTab/viewMode/isMapExpanded/selectedDays/isVenueOwner/subscriptionTier/venue/venuePosts/loading state; useMemo filters; mapRef.,locationsRepo.getById; postsRepo.getByLocation; wait-time Supabase functions/tables; Google Maps key function.,Owner-only updater based on venue owner check; subscription feature gating for premium insights.,WaitTimeDisplay/Updater may use Supabase data; no route-level post realtime.,Loading venue screen.,Venue not found screen with Go Back; console error on load failure.,Generated fallback posts when real venue posts absent.,Responsive container; expanded map fixed overlay; camera button.,Static code review + automated build attempt,Open valid/invalid venue; toggle posts tabs/view/day filters; expand map; test owner/non-owner; mobile overlay; inspect network.,Blocked - External Service,Map/wait-time/real data QA requires Supabase and Google Maps env.,Medium,No code fix made.,Blocked - External Service,Medium,External blocker: Google Maps and Supabase functions must be configured.
